Category,Match Score,Missing Skills
BUSINESS-DEVELOPMENT,12.669735748542438,"['statistics', 'machine learning', 'numpy', 'pandas', 'git', 'scikit-learn']"
TEACHER,12.215353702329088,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'sql', 'scikit-learn']"
INFORMATION-TECHNOLOGY,12.199594007314872,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
TEACHER,12.143716539727373,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
ENGINEERING,11.815727669125467,"['statistics', 'machine learning', 'numpy', 'pandas', 'git', 'scikit-learn']"
INFORMATION-TECHNOLOGY,11.55419853475667,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
INFORMATION-TECHNOLOGY,11.529221829795727,"['machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
ENGINEERING,11.456975181695734,"['statistics', 'machine learning', 'numpy', 'pandas', 'scikit-learn']"
AVIATION,11.44002482580493,"['statistics', 'machine learning', 'numpy', 'pandas', 'git', 'scikit-learn']"
ARTS,11.416254715075688,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
DESIGNER,11.281298462559612,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'scikit-learn']"
HEALTHCARE,11.270157407675683,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
INFORMATION-TECHNOLOGY,11.263903691188526,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
CONSULTANT,11.238934765697085,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'scikit-learn']"
INFORMATION-TECHNOLOGY,11.227965963510364,"['machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
CONSULTANT,11.221614409644808,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'scikit-learn']"
BANKING,10.936509418968523,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
DESIGNER,10.78564003336273,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
ENGINEERING,10.53375064486579,"['machine learning', 'numpy', 'pandas', 'git', 'sql', 'scikit-learn']"
AUTOMOBILE,10.44831352370617,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
ENGINEERING,10.36489599530477,"['numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
ARTS,10.36079161119052,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
ADVOCATE,10.337528413970132,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
TEACHER,10.300959244487547,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
CONSULTANT,10.274781678219759,"['statistics', 'machine learning', 'numpy', 'pandas', 'scikit-learn']"
INFORMATION-TECHNOLOGY,10.156629362884095,"['statistics', 'machine learning', 'numpy', 'pandas', 'scikit-learn']"
APPAREL,10.130366032831281,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'scikit-learn']"
HEALTHCARE,10.121753050899294,"['machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
INFORMATION-TECHNOLOGY,10.112482854721442,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
CONSULTANT,10.081271904969796,"['machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
DESIGNER,10.04996437053722,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
DESIGNER,9.949762581800165,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
TEACHER,9.701114330834022,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
ENGINEERING,9.685088682045558,"['machine learning', 'numpy', 'python', 'pandas', 'scikit-learn']"
INFORMATION-TECHNOLOGY,9.651274831066093,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'scikit-learn']"
ENGINEERING,9.588747119221138,"['statistics', 'numpy', 'python', 'pandas', 'sql', 'scikit-learn']"
ARTS,9.53047096188342,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
ENGINEERING,9.462645914393613,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
BUSINESS-DEVELOPMENT,9.40897560368231,"['statistics', 'machine learning', 'numpy', 'pandas', 'git', 'scikit-learn']"
INFORMATION-TECHNOLOGY,9.395698694974023,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'scikit-learn']"
TEACHER,9.365441998372853,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
APPAREL,9.330658489934748,"['machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
DIGITAL-MEDIA,9.166285437001653,"['statistics', 'numpy', 'python', 'pandas', 'sql', 'scikit-learn']"
BANKING,9.09943182127606,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
INFORMATION-TECHNOLOGY,9.067254427787823,"['statistics', 'machine learning', 'numpy', 'pandas', 'git', 'sql', 'scikit-learn']"
PUBLIC-RELATIONS,9.010586270526957,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
BUSINESS-DEVELOPMENT,8.997566424783082,"['statistics', 'machine learning', 'numpy', 'pandas', 'git', 'sql', 'scikit-learn']"
DESIGNER,8.898657273811473,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
FITNESS,8.88523857805479,"['statistics', 'machine learning', 'numpy', 'pandas', 'git', 'scikit-learn']"
ARTS,8.82114496273799,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
ACCOUNTANT,8.738633400599937,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
DESIGNER,8.70888359769883,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'scikit-learn']"
DESIGNER,8.706186068003536,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
ENGINEERING,8.701730777814914,"['numpy', 'statistics', 'scikit-learn']"
TEACHER,8.651249013936797,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
ENGINEERING,8.6484430255781,"['statistics', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
INFORMATION-TECHNOLOGY,8.550156546685454,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'scikit-learn']"
PUBLIC-RELATIONS,8.533270440525023,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
HEALTHCARE,8.503330820730486,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
BUSINESS-DEVELOPMENT,8.50036834772493,"['machine learning', 'numpy', 'python', 'pandas', 'scikit-learn']"
AVIATION,8.440983459050805,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
BUSINESS-DEVELOPMENT,8.397203981987934,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
DESIGNER,8.290858110846973,"['statistics', 'machine learning', 'numpy', 'pandas', 'git', 'scikit-learn']"
INFORMATION-TECHNOLOGY,8.123029686672515,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
ENGINEERING,8.105755669257643,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
PUBLIC-RELATIONS,8.09498007582435,"['machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
BANKING,8.090123422697939,"['machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
ARTS,8.053752764688927,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'sql', 'scikit-learn']"
ENGINEERING,8.045273908828449,"['machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
INFORMATION-TECHNOLOGY,8.027390419748373,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'scikit-learn']"
ENGINEERING,7.98826811001957,"['statistics', 'machine learning', 'numpy', 'pandas', 'scikit-learn']"
TEACHER,7.944779334946148,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
HEALTHCARE,7.940875230134709,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'sql', 'scikit-learn']"
INFORMATION-TECHNOLOGY,7.900451644156606,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
AGRICULTURE,7.809075434810074,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
ARTS,7.788016490489304,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
ARTS,7.757762731142459,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
CONSULTANT,7.682256670022262,"['statistics', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
TEACHER,7.645260980362114,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
AVIATION,7.617392912171958,"['machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
BANKING,7.611408346518808,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
AGRICULTURE,7.548106845544182,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
INFORMATION-TECHNOLOGY,7.547047213343111,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
ARTS,7.540495853885767,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
PUBLIC-RELATIONS,7.514623097810394,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'scikit-learn']"
AVIATION,7.495046572589986,"['statistics', 'machine learning', 'numpy', 'pandas', 'scikit-learn']"
ARTS,7.4148648422248336,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
BPO,7.409944858295403,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
INFORMATION-TECHNOLOGY,7.367901715149686,"['machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
BANKING,7.346043425722202,"['machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
HEALTHCARE,7.34501759995215,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
BANKING,7.307193546264331,"['machine learning', 'numpy', 'pandas', 'git', 'sql', 'scikit-learn']"
TEACHER,7.258383276529315,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
HEALTHCARE,7.248437784815892,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'sql', 'scikit-learn']"
INFORMATION-TECHNOLOGY,7.243214754061608,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
TEACHER,7.231586283291613,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
SALES,7.162327978031035,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
FINANCE,7.142068909456789,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
FINANCE,7.117400127308093,"['machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
INFORMATION-TECHNOLOGY,7.061351344353143,"['machine learning', 'numpy', 'pandas', 'git', 'scikit-learn']"
BANKING,6.998086796609082,"['machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
INFORMATION-TECHNOLOGY,6.986591462682328,"['statistics', 'machine learning', 'numpy', 'pandas', 'git', 'sql', 'scikit-learn']"
CHEF,6.910334128863292,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
APPAREL,6.901334372396879,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
ARTS,6.899022733014915,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
ENGINEERING,6.891800182824295,"['statistics', 'machine learning', 'numpy', 'pandas', 'sql', 'scikit-learn']"
ARTS,6.876004418404219,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
TEACHER,6.875098658889586,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'sql', 'scikit-learn']"
ARTS,6.862379154647984,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
BUSINESS-DEVELOPMENT,6.841630904463264,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
CONSULTANT,6.806902540405097,"['machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
INFORMATION-TECHNOLOGY,6.784397350064625,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
TEACHER,6.745266506394615,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
DESIGNER,6.737597587640059,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
AVIATION,6.683013726591868,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'scikit-learn']"
INFORMATION-TECHNOLOGY,6.678890316808256,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
FITNESS,6.654497619065795,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
BANKING,6.630078094313771,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
ENGINEERING,6.6104697449774275,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
HEALTHCARE,6.599811906708935,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
BUSINESS-DEVELOPMENT,6.462597591445547,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
DESIGNER,6.447507435239699,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
SALES,6.444598530038154,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
AVIATION,6.422251413472805,"['machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
HR,6.411369034951744,"['machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
CONSULTANT,6.387156489540113,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
BANKING,6.383264030499708,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
ENGINEERING,6.339066051831131,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
CONSULTANT,6.312475054139255,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
INFORMATION-TECHNOLOGY,6.298103594882071,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
DESIGNER,6.264733384547144,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'sql', 'scikit-learn']"
AGRICULTURE,6.210583566304245,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'sql', 'scikit-learn']"
PUBLIC-RELATIONS,6.179075959234742,"['machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
AGRICULTURE,6.14234516446274,"['machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
DESIGNER,6.133677923374161,"['machine learning', 'numpy', 'pandas', 'sql', 'scikit-learn']"
ENGINEERING,6.118251891949471,"['machine learning', 'numpy', 'pandas', 'git', 'sql', 'scikit-learn']"
TEACHER,6.117776794693544,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
TEACHER,6.110938752302078,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
DESIGNER,6.108507188055385,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
INFORMATION-TECHNOLOGY,6.107150930635874,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'scikit-learn']"
INFORMATION-TECHNOLOGY,6.0807469508961365,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'scikit-learn']"
TEACHER,6.078652747689425,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
HEALTHCARE,6.071543390030508,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
ADVOCATE,6.068439894001864,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'scikit-learn']"
INFORMATION-TECHNOLOGY,6.0675339923572755,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'scikit-learn']"
HR,6.063809173489661,"['machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
HR,6.050468480634862,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
HEALTHCARE,6.0413957667576375,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
TEACHER,6.025997888821794,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
ENGINEERING,6.005289569476158,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
CHEF,5.991510447621069,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
BANKING,5.975849005478196,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
ADVOCATE,5.935097154781981,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
BPO,5.930830991375258,"['machine learning', 'numpy', 'python', 'pandas', 'scikit-learn']"
ADVOCATE,5.919837849293471,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
ARTS,5.910801611035099,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
TEACHER,5.90920994539621,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
HR,5.894624090640816,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'sql', 'scikit-learn']"
AVIATION,5.864391258032158,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
ENGINEERING,5.829357005964505,"['statistics', 'machine learning', 'numpy', 'pandas', 'scikit-learn']"
ARTS,5.818733417092478,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
HEALTHCARE,5.818658997490092,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
TEACHER,5.81786726972416,"['machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
DESIGNER,5.786377494674294,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
HEALTHCARE,5.776922245422762,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
FITNESS,5.770933708544687,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
CHEF,5.761989394699589,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
ENGINEERING,5.756423569258634,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
CHEF,5.748156698061643,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
CONSULTANT,5.739539990383536,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
TEACHER,5.711698941349824,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
CONSULTANT,5.710277060899798,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
TEACHER,5.70434455539071,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
ARTS,5.666558819783894,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
TEACHER,5.664361704544682,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
TEACHER,5.656984351942886,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
AVIATION,5.645738031777707,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'sql', 'scikit-learn']"
FITNESS,5.636044264515566,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
INFORMATION-TECHNOLOGY,5.620152966409663,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
BANKING,5.603973707888931,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
FINANCE,5.584697476886615,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
ADVOCATE,5.57822244869656,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
ENGINEERING,5.559939350505985,"['machine learning', 'numpy', 'pandas', 'git', 'scikit-learn']"
TEACHER,5.536295294587872,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
INFORMATION-TECHNOLOGY,5.524276248267286,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
CONSULTANT,5.524236219846876,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
APPAREL,5.492544265199239,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
TEACHER,5.485739617670266,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
HEALTHCARE,5.473220796351798,"['machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
AVIATION,5.438397878406672,"['machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
TEACHER,5.437304675561053,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
CONSTRUCTION,5.429981475505658,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
AUTOMOBILE,5.419516066200878,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
DESIGNER,5.395737090977226,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
TEACHER,5.388383630173054,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
AUTOMOBILE,5.357580893713325,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
BANKING,5.353398965529653,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
FINANCE,5.3518723492765,"['machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
ENGINEERING,5.346150399613532,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
DIGITAL-MEDIA,5.334227259323394,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'scikit-learn']"
INFORMATION-TECHNOLOGY,5.322183032621215,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
HEALTHCARE,5.318426286247939,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
TEACHER,5.31714012684157,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
CONSULTANT,5.294354453759176,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
DIGITAL-MEDIA,5.29304230159873,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'scikit-learn']"
AUTOMOBILE,5.290964751858135,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
HR,5.28536852254509,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
